TAZ,Poly,Area,Weight,GenEdge,PedEdge
-832,-62256,132,0.0005973769720228452,-63429#4,-60247
-832,-59864,285,0.0012897911895947793,-59804#1,-59804#1
-832,-63230,576,0.0026067358779178697,-60056#0,-60056#0
-832,-63848,1371,0.0062045744594190965,--63764#5,--62586
-832,-62247,235,0.0010635120335255198,-63799#1,-63652#0
-832,-62064,232,0.0010499352841613642,-62133#1,-62133#1
-832,-63171,940,0.004254048134102079,--62140#1,--62140#1
-832,-61076,1458,0.006598300190979608,-62394,-62394
-832,-60859,219,0.0009911027035833567,-59981,-59981
-832,-62055,370,0.0016744657549125205,-60129#2,-60129#2
-832,-60557,2574,0.01164885095444548,-62799#0,-62799#0
-832,-63662,424,0.0019188472434673207,-63986#2,-62465#3
-832,-60116,611,0.0027651312871663516,-60129#2,-61729#7
-832,-59947,343,0.0015522750106351203,-61413#2,-63827#8
-832,-62323,274,0.0012400097752595421,-62133#3,-62133#3
-832,-61508,663,0.0030004616094783812,-63429#3,-61001#0
-832,-63824,794,0.0035933129983798415,-63429#4,-63429#4
-832,-63924,189,0.000855335209941801,-60881,-60881
-832,-60383,1085,0.004910257686702932,-63429#3,--63165#1
-832,-63748,749,0.003389661757917508,-63429#3,--60247
-832,-63439,190,0.0008598607930631862,-61093,-61093
-832,-61123,183,0.0008281817112134899,--61850,--61850
-832,-63567,299,0.001353149353294172,-61093,-61093
-832,-64018,625,0.002828489450865744,-62107#0,-61737
-832,-61242,564,0.0025524288804612476,-63429#3,--60247
-832,-62624,240,0.0010861399491324457,-61487#3,-61487#3
-832,-63913,132,0.0005973769720228452,--63799#2,--63799#2
-832,-63423,295,0.001335047020808631,--59858#2,--59858#2
-832,-63854,251,0.0011359213634676828,-63410,-63410
-832,-63212,542,0.0024528660517907732,-63429#4,-62873#1
-832,-63894,899,0.004068499226125287,-62799#0,-62799#0
-832,-61045,345,0.0015613261768778906,-63429#4,-62873#1
-832,-59739,205,0.000927744539883964,-63410,-63410
-832,-61214,825,0.003733606075142782,-60129#2,-60129#2
-832,-60736,299,0.001353149353294172,--62131#4,--62131#4
-832,-63029,181,0.0008191305449707194,-62279#0,-60488
-832,-63116,252,0.001140446946589068,-60129#2,-59993#0
-832,-61669,949,0.004294778382194546,--61976#0,--61976#0
-832,-62313,11112,0.050288279644832234,-60129#2,-60129#2
-832,-59888,281,0.0012716888571092386,-60129#2,-59846#2
-832,-60680,320,0.001448186598843261,-62739,-62739
-832,-61861,2086,0.009440366391209508,-62799#0,-63210
-832,-61506,1548,0.007005602671904275,-64014#1,-64014#1
-832,-63377,218,0.0009865771204619715,-63986#2,-63247
-832,-61768,310,0.001402930767629409,-63067#4,-63067#4
-832,-59922,1608,0.0072771376591873865,-60129#2,--63165#1
-832,-62699,803,0.003634043246472308,--62739,--62739
-832,-60263,5535,0.02504910257686703,-60526#2,-60526#2
-832,-63344,507,0.002294470642542292,-62876#3,-62876#3
-832,-62091,520,0.002353303223120299,--62140#1,--62140#1
-832,-62399,321,0.0014527121819646461,-61711#1,-61652
-832,-63612,1432,0.006480635029823593,--60427#5,--60427#5
-832,-62521,203,0.0009186933736411937,-63410,-63410
-832,-63311,253,0.0011449725297104532,-62131#3,-62131#3
-832,-60926,177,0.0008010282124851787,-60129#2,-59846#2
-832,-60086,2458,0.011123883312364798,-60530#4,-63009#0
-832,-62075,1597,0.007227356244852149,-60129#2,-61648#3
-832,-61188,259,0.0011721260284387643,--60056#1,--60056#1
-832,-63320,892,0.00403682014427559,-63429#4,-60247
-832,-63491,13829,0.0625842889856358,-60526#2,-60526#2
-832,-59983,1579,0.007145895748667216,-60129#2,-61648#3
-832,-61627,145,0.0006562095526008526,--63799#1,--63799#1
-832,-61883,788,0.00356615949965153,-59858#0,-61772#1
