TAZ,Poly,Area,Weight,GenEdge,PedEdge
-2051,-180295,1371,0.0069678442374250995,--178442#2,--178442#2
-2051,-179225,1192,0.006058111109417008,-177984#4,--181129#1
-2051,-178032,318,0.0016161739369082288,-179350#8,-179001
-2051,-177443,320,0.0016263385528636264,-178920,-178920
-2051,-179158,755,0.0038371425231626187,-180409#0,-180409#0
-2051,-179718,344,0.0017483139443283985,-181223#1,-181223#1
-2051,-177760,38,0.00019312770315255563,-181571#12,-180703#0
-2051,-180026,1829,0.009295541291211165,--181558#0,--178316#1
-2051,-177955,1062,0.00539741107231616,-180694#2,-178006#6
-2051,-177818,233,0.001184177758803828,-178172#0,-181655
-2051,-180520,119,0.0006047946493461611,--180340#0,--180340#0
-2051,-179251,775,0.003938788682716595,--178442#0,--180065
-2051,-178572,344,0.0017483139443283985,-180340#0,-180340#0
-2051,-180464,30,0.00015246923933096498,--180340#0,--180340#0
-2051,-178524,726,0.0036897555918093522,-178028#6,-177493#1
-2051,-177319,927,0.004711299495326818,--181628#8,--181628#8
-2051,-181612,1030,0.005234777217029797,-179493#6,-177725#1
-2051,-177365,329,0.0016720793246629158,-179384#1,-179474#0
-2051,-179545,344,0.0017483139443283985,-178167#1,-178167#1
-2051,-178451,201,0.0010215439035174652,-181674#1,-178811
-2051,-177772,4241,0.02155406813342075,--179384#1,-178921#0
-2051,-180233,832,0.0042284802374454285,-179602,-179602
-2051,-179616,663,0.003369570189214326,--178442#2,--178442#2
-2051,-178984,1451,0.0073744288756410065,-180694#4,-180879#3
-2051,-180590,2812,0.014291450033289117,-179651#14,-180586#14
-2051,-177778,1393,0.007079655012934474,-179353#5,-179353#5
-2051,-178830,305,0.001550103933198144,-180694#5,-180879#4
-2051,-181347,288,0.0014637046975772639,-181674#1,-178811
-2051,-180017,205,0.0010418731354282606,-180619#1,-180619#1
-2051,-180572,769,0.003908294834850402,-180067#6,--178049
-2051,-179477,352,0.001788972408149989,-181223#1,-181223#1
-2051,-180171,555,0.002820680927622852,--180340#0,--180340#0
-2051,-179447,1400,0.007115231168778366,-179353#5,-179353#5
-2051,-177429,1648,0.008375643547247676,-179353#5,-179353#5
-2051,-177436,1538,0.007816589669700804,-180694#4,-177855
-2051,-180480,319,0.0016212562448859277,-181674#1,-178811
-2051,-178479,296,0.0015043631613988544,-181571#6,-179269#0
-2051,-179212,721,0.003664344051920858,-180694#4,-179657#0
-2051,-181462,581,0.002952820935043022,-179353#2,-179353#2
-2051,-177942,184,0.0009351446678965852,-181674#0,-181674#0
-2051,-181382,310,0.0015755154730866382,-180619#1,-180619#1
-2051,-178341,126,0.0006403708051900529,-180803,-178811
-2051,-179999,4335,0.02203180508332444,--177476#1,--177476#1
-2051,-181588,221,0.001123190063071442,--180619#0,--180619#0
-2051,-178347,936,0.004757040267126107,-180694#4,-178986#1
-2051,-180066,701,0.003562697892366882,-178537#5,--181129#1
-2051,-180172,871,0.004426690248575683,-179602,-179602
-2051,-178868,336,0.0017076554805068077,--180340#0,--180340#0
-2051,-179981,3298,0.01676145171045075,-179771,-180516
-2051,-178878,599,0.0030443024786416008,-180694#5,-180879#4
-2051,-179458,7603,0.03864078755444422,--178028#0,--178028#0
-2051,-181501,728,0.00369992020776475,--178182#0,-177986#0
-2051,-178775,359,0.001824548563993881,-179353#2,-179353#2
-2051,-178569,1074,0.005458398768048546,-178534#8,-178534#8
-2051,-178513,154,0.0007826754285656202,-181674#1,-178811
-2051,-179635,456,0.0023175324378306677,-180067#5,-181655
